Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
2000,1.4196186,-0.05463994,4.0,-0.004749373547420055,-0.004749373547420055,0.001736026,0.14631999,0.00029938182,0.19979393,0.0049897176,1.0
4000,1.4175996,-0.028576976,4.0,-0.004750000113854185,-0.004750000113854185,0.00070120493,0.1320612,0.0002982231,0.1994077,0.004970444,1.0
6000,1.4123558,-0.009655694,4.0,-0.005000000121071935,-0.005000000121071935,0.00031274502,0.13935763,0.0002969871,0.19899571,0.0049498854,1.0
8000,1.4101439,-0.00691475,4.0,-0.005000000121071935,-0.005000000121071935,0.00020045068,0.11884365,0.00029575112,0.19858372,0.0049293265,1.0
10000,1.4128896,-0.003702568,4.0,-0.005000000121071935,-0.005000000121071935,0.00013687879,0.14269279,0.00029459238,0.19819747,0.0049100528,1.0
12000,1.4141861,-0.006600641,4.0,-0.005000000121071935,-0.005000000121071935,9.4169416e-05,0.13290271,0.0002934336,0.19781122,0.0048907786,1.0
14000,1.4160271,-0.0064434307,4.0,-0.005000000121071935,-0.005000000121071935,8.433766e-05,0.11989273,0.0002921976,0.1973992,0.00487022,1.0
16000,1.4209197,-0.00357918,4.0,-0.005000000121071935,-0.005000000121071935,5.9949747e-05,0.14081456,0.00029096162,0.19698718,0.004849661,1.0
18000,1.4262956,-0.0020137958,4.0,-0.004500000138650648,-0.004500000138650648,5.2646476e-05,0.13132784,0.00028980285,0.19660094,0.004830387,1.0
20000,1.4263971,0.0004405655,4.0,-0.005000000121071935,-0.005000000121071935,4.7099627e-05,0.1334337,0.0002886441,0.1962147,0.0048111137,1.0
22000,1.4222808,-0.0014796113,4.0,-0.005000000121071935,-0.005000000121071935,2.3933451e-05,0.12126385,0.00028740813,0.19580269,0.0047905548,1.0
24000,1.4210933,-0.0015434102,4.0,-0.004750000127241947,-0.004750000127241947,2.9491994e-05,0.1415374,0.00028617212,0.1953907,0.004769996,1.0
26000,1.4137042,-0.001435911,4.0,-0.005000000121071935,-0.005000000121071935,1.5416399e-05,0.13519523,0.00028501338,0.19500446,0.0047507216,1.0
