Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,1.4189383,0.033141047,4.0,-0.004749373566093189,-0.004749373566093189,1.0
4000,1.4188138,0.022778999,4.0,-0.005000000121071935,-0.005000000121071935,1.0
6000,1.4182197,0.008059258,4.0,-0.005000000121071935,-0.005000000121071935,1.0
8000,1.4182687,0.0068942313,4.0,-0.005000000121071935,-0.005000000121071935,1.0
10000,1.4189482,0.008131611,4.0,-0.005000000121071935,-0.005000000121071935,1.0
12000,1.4178927,0.0034289635,4.0,-0.005000000121071935,-0.005000000121071935,1.0
14000,1.4181687,-0.0024838597,4.0,-0.005000000121071935,-0.005000000121071935,1.0
16000,1.4165952,0.0038988339,4.0,-0.005000000121071935,-0.005000000121071935,1.0
18000,1.4142084,-0.0043496783,4.0,-0.005000000121071935,-0.005000000121071935,1.0
20000,1.4134271,-0.002330156,4.0,-0.005000000121071935,-0.005000000121071935,1.0
22000,1.4164673,-0.003440647,4.0,-0.005000000121071935,-0.005000000121071935,1.0
24000,1.4191366,-0.0027099994,4.0,-0.005000000121071935,-0.005000000121071935,1.0
26000,1.4214723,-0.0039055615,4.0,-0.005000000121071935,-0.005000000121071935,1.0
28000,1.4232928,-0.0020175262,4.0,-0.005000000121071935,-0.005000000121071935,1.0
30000,1.4253579,-0.0023880326,4.0,-0.005000000121071935,-0.005000000121071935,1.0
32000,1.4259387,-0.004155767,4.0,-0.005000000121071935,-0.005000000121071935,1.0
34000,1.4264454,-0.00276703,4.0,-0.005000000121071935,-0.005000000121071935,1.0
36000,1.4266695,-0.0022158718,4.0,-0.005000000121071935,-0.005000000121071935,1.0
38000,1.4251299,-0.0029610116,4.0,-0.005000000121071935,-0.005000000121071935,1.0
40000,1.4238957,-0.00277888,4.0,-0.005000000121071935,-0.005000000121071935,1.0
42000,1.4231194,-0.0031797693,4.0,-0.005000000121071935,-0.005000000121071935,1.0
44000,1.4218066,-0.0021556353,4.0,-0.005000000121071935,-0.005000000121071935,1.0
46000,1.4206265,-0.0015269342,4.0,-0.005000000121071935,-0.005000000121071935,1.0
48000,1.41895,0.0006109393,4.0,-0.005000000121071935,-0.005000000121071935,1.0
50000,1.4179461,-0.0012227851,4.0,-0.005000000121071935,-0.005000000121071935,1.0
52000,1.4196422,-0.0023478086,4.0,-0.004750000132480637,-0.004750000132480637,1.0
54000,1.4209372,-0.0023322357,4.0,-0.005000000121071935,-0.005000000121071935,1.0
56000,1.4192824,-0.001488064,4.0,-0.005000000121071935,-0.005000000121071935,1.0
58000,1.4162377,-0.0013394314,4.0,-0.005000000121071935,-0.005000000121071935,1.0
60000,1.4150926,-0.0014497533,4.0,-0.005000000121071935,-0.005000000121071935,1.0
62000,1.4133112,-0.0025676594,4.0,-0.005000000121071935,-0.005000000121071935,1.0
64000,1.4117151,-0.0017405545,4.0,-0.005000000121071935,-0.005000000121071935,1.0
66000,1.4098707,-0.0021780499,4.0,-0.004750000132480637,-0.004750000132480637,1.0
68000,1.4072407,-0.0018517572,4.0,-0.005000000121071935,-0.005000000121071935,1.0
70000,1.4057548,-0.0031542224,4.0,-0.005000000121071935,-0.005000000121071935,1.0
72000,1.4054084,-0.0040046703,4.0,-0.005000000121071935,-0.005000000121071935,1.0
74000,1.4044476,-0.0038656043,4.0,-0.005000000121071935,-0.005000000121071935,1.0
76000,1.4026829,-0.004536586,4.0,-0.005000000121071935,-0.005000000121071935,1.0
78000,1.4020168,-0.0038400823,4.0,-0.005000000121071935,-0.005000000121071935,1.0
80000,1.3995454,-0.0038603565,4.0,-0.005000000121071935,-0.005000000121071935,1.0
82000,1.3979075,-0.0051061087,4.0,-0.005000000121071935,-0.005000000121071935,1.0
84000,1.3967129,-0.005501455,4.0,-0.005000000121071935,-0.005000000121071935,1.0
86000,1.3944868,-0.004565383,4.0,-0.005000000121071935,-0.005000000121071935,1.0
88000,1.3927729,-0.005325896,4.0,-0.005000000121071935,-0.005000000121071935,1.0
90000,1.3910139,-0.0053379177,4.0,-0.005000000121071935,-0.005000000121071935,1.0
92000,1.3882648,-0.005297878,4.0,-0.005000000121071935,-0.005000000121071935,1.0
94000,1.3869735,-0.005443307,4.0,-0.005000000121071935,-0.005000000121071935,1.0
96000,1.3848025,-0.0061647426,4.0,-0.004750000127241947,-0.004750000127241947,1.0
98000,1.3834654,-0.0058571137,4.0,-0.005000000121071935,-0.005000000121071935,1.0
100000,1.382906,-0.0046613216,4.0,-0.005000000121071935,-0.005000000121071935,1.0
102000,1.3840038,-0.005666629,4.0,-0.005000000121071935,-0.005000000121071935,1.0
104000,1.3822445,-0.004696044,4.0,-0.005000000121071935,-0.005000000121071935,1.0
106000,1.3785665,-0.0055134175,4.0,-0.005000000121071935,-0.005000000121071935,1.0
108000,1.3756706,-0.005278238,4.0,-0.005000000121071935,-0.005000000121071935,1.0
110000,1.3747448,-0.0059195943,4.0,-0.005000000121071935,-0.005000000121071935,1.0
112000,1.373211,-0.005290036,4.0,-0.005000000121071935,-0.005000000121071935,1.0
114000,1.3714997,-0.0065534343,4.0,-0.005000000121071935,-0.005000000121071935,1.0
116000,1.3705975,-0.006202672,4.0,-0.005000000121071935,-0.005000000121071935,1.0
118000,1.3695045,-0.0058846567,4.0,-0.005000000121071935,-0.005000000121071935,1.0
120000,1.3690659,-0.0060977507,4.0,-0.005000000121071935,-0.005000000121071935,1.0
122000,1.3688805,-0.0056992117,4.0,-0.004750000113854185,-0.004750000113854185,1.0
124000,1.3679814,-0.005769851,4.0,-0.005000000121071935,-0.005000000121071935,1.0
126000,1.3666074,-0.0065492876,4.0,-0.005000000121071935,-0.005000000121071935,1.0
128000,1.3646107,-0.007045542,4.0,-0.005000000121071935,-0.005000000121071935,1.0
130000,1.3629463,-0.0071686506,4.0,-0.005000000121071935,-0.005000000121071935,1.0
132000,1.3621159,-0.0068040723,4.0,-0.005000000121071935,-0.005000000121071935,1.0
134000,1.3613831,-0.006914245,4.0,-0.005000000121071935,-0.005000000121071935,1.0
136000,1.3606426,-0.007125816,4.0,-0.005000000121071935,-0.005000000121071935,1.0
138000,1.3599864,-0.0071657365,4.0,-0.005000000121071935,-0.005000000121071935,1.0
