Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,1.4189383,4.0,0.092587486,-0.005000000353902578,-0.005000000353902578,1.0
4000,1.4205016,4.0,0.07235372,-0.005000000353902578,-0.005000000353902578,1.0
6000,1.4196272,4.0,0.09055818,-0.004250000236788764,-0.004250000236788764,1.0
8000,1.4206259,4.0,0.16753668,-0.005000000353902578,-0.005000000353902578,1.0
10000,1.4217117,4.0,0.2797961,-0.005000000353902578,-0.005000000353902578,1.0
12000,1.4223903,4.0,0.37472114,-0.005000000353902578,-0.005000000353902578,1.0
14000,1.4231858,4.0,0.4249199,-0.005000000353902578,-0.005000000353902578,1.0
16000,1.4231838,4.0,0.52952135,-0.005000000353902578,-0.005000000353902578,1.0
18000,1.4222991,4.0,0.6357014,-0.005000000353902578,-0.005000000353902578,1.0
20000,1.419387,4.0,0.7044973,-0.005000000353902578,-0.005000000353902578,1.0
22000,1.4163886,4.0,0.77389383,-0.004250000162282958,-0.004250000162282958,1.0
24000,1.4121857,4.0,0.8378729,-0.005000000353902578,-0.005000000353902578,1.0
26000,1.4080402,4.0,0.86938584,-0.004250000162282958,-0.004250000162282958,1.0
28000,1.4040124,4.0,0.89305955,-0.005000000353902578,-0.005000000353902578,1.0
30000,1.4011701,4.0,0.867233,-0.005000000353902578,-0.005000000353902578,1.0
32000,1.3985691,4.0,0.89851564,-0.005000000353902578,-0.005000000353902578,1.0
34000,1.395461,4.0,0.86857706,-0.005000000353902578,-0.005000000353902578,1.0
36000,1.3924893,4.0,0.81997126,-0.004250000236788764,-0.004250000236788764,1.0
38000,1.3888954,4.0,0.8207913,-0.005000000353902578,-0.005000000353902578,1.0
40000,1.3850057,4.0,0.7474768,-0.005000000353902578,-0.005000000353902578,1.0
42000,1.3809102,4.0,0.67395175,-0.004250000162282958,-0.004250000162282958,1.0
44000,1.375808,4.0,0.6392073,-0.005000000353902578,-0.005000000353902578,1.0
46000,1.3708957,4.0,0.5770714,-0.005000000353902578,-0.005000000353902578,1.0
48000,1.3677378,4.0,0.5399721,-0.005000000353902578,-0.005000000353902578,1.0
50000,1.3656662,4.0,0.49383935,-0.003499999970663339,-0.003499999970663339,1.0
52000,1.3629041,4.0,0.42918503,-0.005000000353902578,-0.005000000353902578,1.0
54000,1.3595476,4.0,0.41565764,-0.004250000162282958,-0.004250000162282958,1.0
56000,1.3556701,4.0,0.38735104,-0.005000000353902578,-0.005000000353902578,1.0
58000,1.3522223,4.0,0.357807,-0.005000000353902578,-0.005000000353902578,1.0
60000,1.3473581,4.0,0.31516576,-0.005000000353902578,-0.005000000353902578,1.0
62000,1.3432311,4.0,0.29732162,-0.005000000353902578,-0.005000000353902578,1.0
64000,1.3381176,4.0,0.27362567,-0.004250000162282958,-0.004250000162282958,1.0
66000,1.3351685,4.0,0.27048162,-0.005000000353902578,-0.005000000353902578,1.0
68000,1.3336623,4.0,0.24409397,-0.004250000162282958,-0.004250000162282958,1.0
70000,1.3307302,4.0,0.22578232,-0.005000000353902578,-0.005000000353902578,1.0
72000,1.3273764,4.0,0.2161081,-0.005000000353902578,-0.005000000353902578,1.0
74000,1.3218164,4.0,0.20668972,-0.005000000353902578,-0.005000000353902578,1.0
76000,1.3182255,4.0,0.1981085,-0.005000000353902578,-0.005000000353902578,1.0
78000,1.3152462,4.0,0.18090361,-0.005000000353902578,-0.005000000353902578,1.0
80000,1.3111868,4.0,0.19068213,-0.005000000353902578,-0.005000000353902578,1.0
