Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,-0.25693128,1.4189385,211.0,-1.2120001092553139,-1.2120001092553139,1.0
3000,0.113262996,1.4157465,257.0,-1.2580001056194305,-1.2580001056194305,1.0
4000,0.040798612,1.4140042,None,None,None,1.0
5000,0.17538108,1.4140042,None,None,None,1.0
6000,0.08908205,1.4149991,634.0,-1.635000042617321,-1.635000042617321,1.0
7000,0.19953689,1.4152852,678.0,-1.6790000647306442,-1.6790000647306442,1.0
8000,0.06534111,1.4147251,765.0,-1.7660000696778297,-1.7660000696778297,1.0
9000,0.16265981,1.4144052,651.25,-1.4022500272840261,-1.4022500272840261,1.0
10000,-0.16713421,1.4159721,643.0,-1.6440000422298908,-1.6440000422298908,1.0
11000,-0.22188458,1.4173018,None,None,None,1.0
12000,-0.11514592,1.4188193,594.6666666666666,-1.7025000862777233,-1.7025000862777233,1.0
13000,-0.08804576,1.4197261,1244.0,-1.813500076532364,-1.813500076532364,1.0
14000,-0.039353956,1.4193562,338.5,-1.3395000323653221,-1.3395000323653221,1.0
15000,-0.008331746,1.4189817,438.0,-1.4390000812709332,-1.4390000812709332,1.0
16000,-0.043967593,1.41939,493.6666666666667,-1.494666762650013,-1.494666762650013,1.0
17000,-0.04528636,1.4200672,419.6666666666667,-1.087333358824253,-1.087333358824253,1.0
18000,-0.017435368,1.4214448,530.0,-1.5310000777244568,-1.5310000777244568,1.0
19000,-0.060095698,1.4249457,None,None,None,1.0
20000,-0.04386189,1.4241272,502.0,-0.5029999762773514,-0.5029999762773514,1.0
21000,-0.050280098,1.4210361,567.0,-1.5680000744760036,-1.5680000744760036,1.0
22000,-0.08922311,1.4210669,None,None,None,1.0
23000,-0.06366657,1.4220933,583.0,-1.5840000435709953,-1.5840000435709953,1.0
24000,-0.02290015,1.4223075,346.3333333333333,-1.4695000126957893,-1.4695000126957893,1.0
25000,-0.0038762875,1.4233992,1154.0,-1.9076667403181393,-1.9076667403181393,1.0
26000,-0.07176547,1.4234703,773.5,-1.4646667366226513,-1.4646667366226513,1.0
27000,-0.028455842,1.4240172,None,None,None,1.0
28000,-0.024429841,1.4240171,1332.0,-2.3330001533031464,-2.3330001533031464,1.0
29000,-0.035833284,1.42314,466.6666666666667,-1.4676667352517445,-1.4676667352517445,1.0
30000,0.047915846,1.4229084,884.0,-1.8850001320242882,-1.8850001320242882,1.0
31000,0.029193234,1.422751,None,None,None,1.0
32000,0.02011733,1.4226767,472.5,-1.4735000804066658,-1.4735000804066658,1.0
33000,-0.056274846,1.4227928,869.25,-1.6202500704675913,-1.6202500704675913,1.0
34000,-0.0134680765,1.4228822,534.0,-1.0350000634789467,-1.0350000634789467,1.0
35000,-0.011988126,1.4205625,None,None,None,1.0
36000,-0.0047757276,1.4183375,629.0,-1.6300001069903374,-1.6300001069903374,1.0
37000,-0.037906576,1.4167312,606.0,-1.2736667344967525,-1.2736667344967525,1.0
38000,-0.008972859,1.4150925,296.8,-1.2978000566363335,-1.2978000566363335,1.0
39000,0.009337492,1.4137772,None,None,None,1.0
40000,-0.00062678894,1.4118336,428.0,-1.4290000349283218,-1.4290000349283218,1.0
41000,0.013433844,1.4110053,417.3333333333333,-1.0850000356634457,-1.0850000356634457,1.0
42000,-0.030253645,1.4094926,None,None,None,1.0
43000,-0.052936945,1.4097714,484.0,-1.4450000077486038,-1.4450000077486038,1.0
44000,-0.09524968,1.4104402,585.3333333333334,-1.3210000395774841,-1.3210000395774841,1.0
45000,-0.099957466,1.4104425,541.0,-1.721000112593174,-1.721000112593174,1.0
46000,-0.04689133,1.409998,795.0,-1.310750050470233,-1.310750050470233,1.0
47000,-0.052318208,1.4098876,None,None,None,1.0
48000,-0.047640502,1.408966,213.0,-1.2140000835061073,-1.2140000835061073,1.0
49000,-0.055958793,1.4090691,486.0,-1.4870000556111336,-1.4870000556111336,1.0
50000,-0.047917657,1.4108255,726.0,0.273000068962574,0.273000068962574,1.0
51000,-0.021566024,1.4108255,568.0,-1.5060001090168953,-1.5060001090168953,1.0
52000,-0.019192351,1.4108248,689.0,-1.661000121384859,-1.661000121384859,1.0
53000,0.011171329,1.4107925,712.0,-1.7130000963807106,-1.7130000963807106,1.0
54000,-0.007507255,1.4113306,254.0,-1.2550000920891762,-1.2550000920891762,1.0
55000,-0.008705268,1.4114707,1401.0,-2.4020001515746117,-2.4020001515746117,1.0
56000,-0.051529646,1.4122624,675.5,-1.67650006711483,-1.67650006711483,1.0
57000,-0.034784406,1.4127538,508.0,-1.5090000877777736,-1.5090000877777736,1.0
58000,-0.0021196033,1.4123088,194.33333333333334,-1.1953333814938862,-1.1953333814938862,1.0
59000,-0.027815117,1.411945,594.0,-1.5950000807642937,-1.5950000807642937,1.0
60000,0.013947398,1.4117317,994.0,-0.9950000196695328,-0.9950000196695328,1.0
61000,0.0103761945,1.4115447,None,None,None,1.0
62000,-0.018996786,1.4106854,362.0,-1.3630001172423363,-1.3630001172423363,1.0
63000,-0.03518629,1.4090259,1024.0,-2.025000099092722,-2.025000099092722,1.0
64000,-0.041629262,1.4083327,431.0,-1.4320001155138016,-1.4320001155138016,1.0
65000,-0.042823248,1.4070742,614.0,-1.6150000616908073,-1.6150000616908073,1.0
66000,-0.026974559,1.4073037,564.0,-1.4776667257150014,-1.4776667257150014,1.0
67000,-0.053593703,1.4082336,None,-1.8270000517368317,-1.8270000517368317,1.0
68000,-0.051459305,1.4083724,971.0,-2.5970000624656677,-2.5970000624656677,1.0
69000,-0.04177515,1.4092542,285.5,-1.3066667392849922,-1.3066667392849922,1.0
70000,-1.9757574e-05,1.4091429,None,None,None,1.0
71000,-0.014440212,1.4087255,None,None,None,1.0
72000,-0.03212233,1.4087255,1044.5,-2.0455001033842564,-2.0455001033842564,1.0
73000,0.0006283857,1.4087662,None,None,None,1.0
74000,-0.05164009,1.4088385,772.5,-1.773500058799982,-1.773500058799982,1.0
75000,-0.05226185,1.4091669,587.0,-1.5880001112818718,-1.5880001112818718,1.0
76000,-0.06391762,1.4092706,588.5,-1.5895000658929348,-1.5895000658929348,1.0
77000,-0.053194586,1.4101821,362.0,-1.3630001172423363,-1.3630001172423363,1.0
78000,-0.07559926,1.4105015,1606.5,-2.1075000762939453,-2.1075000762939453,1.0
79000,-0.059560027,1.4103824,None,None,None,1.0
80000,-0.06630948,1.4102204,179.5,-1.1805000118911266,-1.1805000118911266,1.0
81000,-0.0025585182,1.4103131,1689.5,-2.6905001290142536,-2.6905001290142536,1.0
82000,-0.035700563,1.4105607,489.6666666666667,-1.4906667346755664,-1.4906667346755664,1.0
83000,-0.069880664,1.4111147,724.0,-1.2250000052154064,-1.2250000052154064,1.0
84000,-0.055002548,1.4123572,377.0,-1.1572500374168158,-1.1572500374168158,1.0
85000,-0.0032424787,1.4129856,1295.0,-2.2960000932216644,-2.2960000932216644,1.0
86000,-0.01858581,1.4147185,274.0,-1.2750000258286793,-1.2750000258286793,1.0
87000,0.019165214,1.4145546,485.0,-1.486000008881092,-1.486000008881092,1.0
88000,-0.023893122,1.4135488,None,None,None,1.0
89000,-0.02288077,1.4135824,564.0,-1.5650001168251038,-1.5650001168251038,1.0
90000,-0.026041966,1.4138132,None,None,None,1.0
91000,-0.019411927,1.4138665,576.0,-1.5770000740885735,-1.5770000740885735,1.0
