Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
6000,1.4200255,0.2905058,0.14112613,0.06946038,0.0002980975,0.19936585,0.0049683554,439.4,-1.4404000535607338,-1.4404000535607338,1.0
12000,1.4214965,0.17099868,0.037574936,0.067789696,0.00029533813,0.19844605,0.0049224584,551.0,-1.4408889537056286,-1.4408889537056286,1.0
18000,1.4262108,-0.060552858,0.02901307,0.07002949,0.0002921837,0.19739453,0.004869988,697.8181818181819,-1.6079091578722,-1.6079091578722,1.0
24000,1.428024,0.028215317,0.031300373,0.06849093,0.00028906367,0.19635457,0.0048180926,512.4545454545455,-1.4225455021316356,-1.4225455021316356,1.0
30000,1.4313139,-0.025981264,0.02518052,0.0753258,0.00028647127,0.19549042,0.004774972,457.54545454545456,-1.2767273411154747,-1.2767273411154747,1.0
36000,1.4284062,-0.028553039,0.019444779,0.07293137,0.0002838875,0.19462918,0.004731995,543.3333333333334,-1.3776667434722185,-1.3776667434722185,1.0
42000,1.4251688,-0.0336678,0.016858416,0.06758437,0.0002807417,0.19358057,0.004679669,447.8333333333333,-1.3655000496655703,-1.3655000496655703,1.0
48000,1.4309186,0.009626449,0.01077799,0.067364156,0.00027760366,0.19253457,0.004627474,710.7777777777778,-1.6006667357352045,-1.6006667357352045,1.0
54000,1.4377891,-0.02513088,0.012232526,0.058360886,0.00027447534,0.19149178,0.0045754393,561.1538461538462,-1.4852308252683053,-1.4852308252683053,1.0
60000,1.4392066,-0.07102073,0.010267331,0.06442801,0.0002713512,0.19045039,0.0045234743,499.6363636363636,-1.4097273248163136,-1.4097273248163136,1.0
66000,1.4365464,-0.015539855,0.007405989,0.06351122,0.0002682147,0.18940489,0.004471304,529.0909090909091,-1.1660909483378583,-1.1660909483378583,1.0
72000,1.4321787,-0.06093759,0.008863967,0.07384514,0.00026509017,0.18836339,0.004419333,556.0,-1.4707857710974557,-1.4707857710974557,1.0
78000,1.43002,-0.033968683,0.0073738354,0.07403097,0.00026249426,0.18749806,0.0043761544,414.0,-1.3018000662326812,-1.3018000662326812,1.0
84000,1.4283563,-0.011091689,0.0071088723,0.07227635,0.00025991735,0.18663912,0.004333291,553.75,-1.1797500113025308,-1.1797500113025308,1.0
90000,1.4280484,-0.046105176,0.0069928165,0.06858882,0.00025680804,0.18560266,0.004281573,532.2857142857143,-1.3190000387174743,-1.3190000387174743,1.0
96000,1.426102,-0.04779688,0.00804666,0.07246444,0.00025366983,0.18455662,0.0042293747,403.46666666666664,-1.2711333841085435,-1.2711333841085435,1.0
102000,1.4288558,-0.043093473,0.009025055,0.0647688,0.00025053785,0.18351261,0.0041772793,493.875,-1.3073750515468419,-1.3073750515468419,1.0
108000,1.4290022,-0.050837845,0.0072789523,0.06765355,0.00024741454,0.18247151,0.004125328,389.2142857142857,-1.2473572077495712,-1.2473572077495712,1.0
114000,1.4321854,-0.026684143,0.009159297,0.062871456,0.00024429502,0.18143167,0.0040734396,415.125,-1.1661250381730497,-1.1661250381730497,1.0
120000,1.4357002,-0.024719117,0.009456555,0.06825035,0.00024118855,0.18039615,0.004021769,339.44444444444446,-1.106411807677325,-1.106411807677325,1.0
126000,1.43689,-0.03845879,0.007021951,0.068102665,0.00023805437,0.17935145,0.003969637,391.54545454545456,-1.3864167214681704,-1.3864167214681704,1.0
132000,1.4387225,-0.034669816,0.0073324614,0.06206984,0.00023546253,0.1784875,0.0039265263,503.8888888888889,-1.2826667287283473,-1.2826667287283473,1.0
138000,1.4385098,-0.045674816,0.0061315647,0.06504813,0.00023286421,0.17762138,0.003883307,568.5714285714286,-1.2838572253073965,-1.2838572253073965,1.0
144000,1.438227,-0.025767254,0.004793888,0.064604566,0.00022975788,0.17658596,0.0038316387,658.8,-1.3983333764804735,-1.3983333764804735,1.0
150000,1.4415586,-0.029066574,0.007742321,0.06859213,0.0002266412,0.17554705,0.0037797978,515.5,-1.2889091541821307,-1.2889091541821307,1.0
156000,1.4398271,-0.046089012,0.005336402,0.07390118,0.00022349988,0.17449994,0.0037275471,623.3333333333334,-1.2910000408689182,-1.2910000408689182,1.0
162000,1.4338403,-0.029346988,0.0074406285,0.067474775,0.0002203647,0.17345488,0.003675399,438.0625,-1.3140625744126737,-1.3140625744126737,1.0
168000,1.431375,-0.06806114,0.0085198125,0.068864524,0.00021721021,0.17240338,0.0036229289,325.75,-1.0232105670790923,-1.0232105670790923,1.0
